chunk_size,max_tokens,questions_num,rouge1,rouge2,rougeL,rougeLsum,bert_score_P,bert_score_R,bert_score_F1,sts_score,substring_date,elapsed_time
128,128,2,0.20704678601966842,0.1667564779006105,0.18337704094489904,0.1980204745732046,0.7811397969722748,0.4140654429793358,0.5372660636901856,0.5258359789848328,LMForge_RUN04_DGX_SPARK_microsoft-Phi-4-mini-instruct,0 days 12:58:25.089945
128,256,2,0.41984814919077285,0.24349674774009433,0.29544465038663187,0.37546434451905597,0.7112207423965886,0.5476794308930073,0.6142750615781208,0.7025494120031033,LMForge_RUN04_DGX_SPARK_microsoft-Phi-4-mini-instruct,1 days 03:41:41.064955
128,512,2,0.4135899911446925,0.2052017857152324,0.2623400828465833,0.3631738836733013,0.6266271479386651,0.6012207530027266,0.6113402038318676,0.7248758327277655,LMForge_RUN04_DGX_SPARK_microsoft-Phi-4-mini-instruct,1 days 02:06:52.032716
128,1024,2,0.3882404172469284,0.18752280777513508,0.24548190475762097,0.3411144699496873,0.6109357720211998,0.5991213692902283,0.6027165957374276,0.7179366165183368,LMForge_RUN04_DGX_SPARK_microsoft-Phi-4-mini-instruct,1 days 03:53:27.861892
128,2048,2,0.4086668879977816,0.2070210649511527,0.262315864236384,0.35875335122341445,0.6227959854515606,0.6067682447192541,0.6126332262696055,0.7272199955384921,LMForge_RUN04_DGX_SPARK_microsoft-Phi-4-mini-instruct,2 days 04:07:19.134881
256,128,2,0.0564094412386969,0.03422445147854082,0.048650982338353785,0.05538164562175568,0.6589644040380206,0.3303418042404311,0.43528017667787416,0.4326405932328531,LMForge_RUN04_DGX_SPARK_microsoft-Phi-4-mini-instruct,0 days 14:22:39.326962
256,256,2,0.2521972766547047,0.15230041605291084,0.18201449453233687,0.23464929612100335,0.7141153500193641,0.45344538892072345,0.5491915379488279,0.5875125486581099,LMForge_RUN04_DGX_SPARK_microsoft-Phi-4-mini-instruct,1 days 04:51:53.579612
